Issue Type,Issue key,Issue id,Summary,Reporter,Reporter Id,Status,Custom field (Start date),Custom field (End date),Due date,Custom field (Story Points),Assignee,Assignee Id,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Story point estimate),Custom field (Work category),Status Category Changed,Σ Remaining Estimate,Σ Original Estimate,Σ Time Spent,Custom field (End Date),Custom field (Orden  de Compra 1),Custom field (Moneda de pago 1),Custom field (Proveedor 1),Custom field (Orden de Compra 2),Custom field (Moneda de pago 2),Custom field (Proveedor 2),Custom field (Orden de Compra 3),Custom field (Moneda de pago 3),Custom field (Proveedor 3),Custom field (Orden de Compra 4),Custom field (Moneda de pago 4),Custom field (Proveedor 4),Custom field (Orden de Compra 5),Custom field (Proveedor 5),Custom field (Moneda de pago 5),Custom field (Orden de Compra 6),Custom field (Moneda de pago 6),Custom field (CAR Padre 6),Custom field (Proveedor 6),Custom field (CAR Padre 2),Custom field (CAR Padre 3),Custom field (CAR Padre 4),Custom field (CAR Padre 5),Custom field (Código OPEX 1),Custom field (Código OPEX 2),Custom field (Código OPEX 3),Custom field (Código OPEX 4),Custom field (Código OPEX 5),Custom field (Código OPEX 6),Custom field (CAR Padre 1)
Task,SMP-4362,217382,Habilitar Cuentas Pre / Pos con Billeteras de TM para pruebas en producción,"gustavo.garcia@tigo,net.py",641862457222b08f3e720675,Finalizada,,,05/Dec/25 7:26 PM,2.0,omar.ortiz,64188aa257f0c028e2f5d181,Sprint 232025-SMP,,,,,,,,05/Dec/25 2:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,SMP-4361,216639,Gestionar Actualización de Script de Compra de Paquetes en 222,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,03/Dec/25 8:45 PM,3.0,omar.ortiz,64188aa257f0c028e2f5d181,Sprint 232025-SMP,,,,,,,,03/Dec/25 3:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,SMP-4354,214709,Tareas para Implementación de Modificación SMS WP,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,27/Nov/25 6:50 PM,1.0,Analiz Rodriguez,712020:23ce5bca-cd95-41f4-ade9-f92d71f84d4a,Sprint 232025-SMP,,,,,,,,27/Nov/25 1:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,SMP-4353,214666,Seguimiento para Automatizar Workaround - FIX en Proceso de Baja Definitiva,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,05/Dec/25 12:29 PM,1.0,Claudio Cabrera,641863255534b0bf744137c0,Sprint 232025-SMP,,,,,,,,05/Dec/25 7:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,SMP-4352,214589,Preparar líneas para Implementación de Delay a Paquetes Combos,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,27/Nov/25 1:12 PM,1.0,omar.ortiz,64188aa257f0c028e2f5d181,Sprint 232025-SMP,,,,,,,,27/Nov/25 8:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,SMP-4351,214586,Tareas para Implementación de Delay a Paquetes Combos,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,27/Nov/25 6:45 PM,1.0,Claudio Cabrera,641863255534b0bf744137c0,Sprint 232025-SMP,,,,,,,,27/Nov/25 1:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Story,SMP-4350,214576,Realizar Pruebas Configuracion Delay Paquetes Combos,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,26/Nov/25 8:44 PM,2.0,omar.ortiz,64188aa257f0c028e2f5d181,Sprint 232025-SMP,,,,,,,,26/Nov/25 3:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,SMP-4349,214414,Ajustar Configuración EPIN Paquete 8000,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,27/Nov/25 2:23 PM,2.0,Analiz Rodriguez,712020:23ce5bca-cd95-41f4-ade9-f92d71f84d4a,Sprint 232025-SMP,,,,,,,,27/Nov/25 9:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,SMP-4348,214398,Actualizar SMS de Campaña WP AA y Gross,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,27/Nov/25 2:16 PM,2.0,Analiz Rodriguez,712020:23ce5bca-cd95-41f4-ade9-f92d71f84d4a,Sprint 232025-SMP,,,,,,,,27/Nov/25 9:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike,SMP-4347,213210,Revisión de Procesos de Compra de Paquetes,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,04/Dec/25 7:16 PM,2.0,Analiz Rodriguez,712020:23ce5bca-cd95-41f4-ade9-f92d71f84d4a,Sprint 232025-SMP,,,,,,,,04/Dec/25 2:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike,SMP-4346,213160,Diseñar Solución SMP-Service a Promotion Engine,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,,,22/Dec/25 5:37 PM,3.0,Ricardo Escurra,712020:21f0cc60-2242-4b48-bc3e-b2f6ab8e4697,Sprint 232025-SMP,Sprint 242025-SMP,,,,,,,22/Dec/25 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike,SMP-4259,201683,Definition of Ready - DoR,rafael.castro,640cdf4f0a4a47fb8d264d02,Backlog,,,,0.0,rafael.castro,640cdf4f0a4a47fb8d264d02,Sprint 212025-SMP,Sprint 222025-SMP,Sprint 232025-SMP,Sprint 242025-SMP,Sprint 202601-SMP,Sprint 202602-SMP,,,21/Oct/25 2:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike,SMP-4258,201682,Definition of Done - DoD,rafael.castro,640cdf4f0a4a47fb8d264d02,Backlog,,,,0.0,rafael.castro,640cdf4f0a4a47fb8d264d02,Sprint 212025-SMP,Sprint 222025-SMP,Sprint 232025-SMP,Sprint 242025-SMP,Sprint 202601-SMP,Sprint 202602-SMP,,,21/Oct/25 2:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Story,SMP-4170,191260,Automatizar Workaround - FIX en Proceso de Baja Definitiva,"gustavo.garcia@tigo,net.py",641862457222b08f3e720675,Cancelada,,,18/Dec/25 7:16 PM,0.0,Ricardo Escurra,712020:21f0cc60-2242-4b48-bc3e-b2f6ab8e4697,Sprint 232025-SMP,Sprint 202601-SMP,,,,,,,18/Dec/25 2:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Story,SMP-4166,191133,Configurar Delay a Paquetes Combos,"gustavo.garcia@tigo,net.py",641862457222b08f3e720675,Finalizada,,,27/Nov/25 11:59 AM,2.0,Claudio Cabrera,641863255534b0bf744137c0,Sprint 232025-SMP,,,,,,,,27/Nov/25 6:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,SMP-4133,188052,[PROB] Configurar Delay Paquetes Combos - Noches Ilimitadas,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Finalizada,24/Nov/25 12:00 AM,,28/Nov/25 2:55 PM,0.0,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,Sprint 232025-SMP,,,,,,,,28/Nov/25 9:55 AM,,,,28/Nov/25 9:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,SMP-3817,150933,[PROB] FIX en Proceso de Baja Definitiva ,Alberto Espinola,5eb9c2b27dab3a0bb459e3a4,In Progress,06/Apr/26 12:00 AM,,,0.0,Analiz Rodriguez,712020:23ce5bca-cd95-41f4-ade9-f92d71f84d4a,Sprint 232025-SMP,,,,,,,,26/Nov/25 12:19 PM,,,,21/Jun/26 8:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
